item	LLM	COT	construct	stem	A	B	C	D
1	gpt-4o	0.0	Honesty-Humility	You find a wallet with a significant amount of money in the office. What do you do?	You take the money from the wallet and then leave it where you found it.	You check the contents of the wallet, take a little money for yourself, and then turn it in to the lost and found.	You leave the wallet where it is, hoping someone else will deal with it.	You take the wallet to the lost and found immediately without checking its contents.
2	gpt-4o	1.0	Conscientiousness	You have a project report due in two weeks. How do you approach this task?	Procrastinate until the last minute and submit a hurriedly completed report.	Work on the report sporadically, finishing just in time without much review.	Start working on the report a few days before the deadline, ensuring it's complete but not thoroughly reviewed.	Create a detailed plan, start immediately, and review the report multiple times for accuracy.
3	gpt-4-1106-preview	0.0	Openness to Experience	The Smith family is planning their annual vacation and after a brainstorming session, they have narrowed down their options to four different destinations: a familiar beach resort, a well-known city's historical tour, an adventure in the Amazon jungle, or an experimental underwater hotel. Each family member has different levels of openness to experience.	Select the experimental underwater hotel for a unique and innovative vacation.	Stick with the familiar beach resort they have visited before.	Opt for the historical city tour as it's educational but still quite structured.	Choose the adventure in the Amazon jungle for a completely new experience.
4	gpt-4-1106-preview	0.0	Openness to Experience	In a travel agency, a group of friends are discussing where to go for their annual vacation. One suggests a remote village in the Andes known for its unique festivals and untouched landscapes.	Insists on a well-known resort destination to ensure the vacation is comfortable and predictable.	Shows some interest but is concerned about the lack of familiar amenities and prefers a more conventional tourist spot.	Is intrigued by the idea but wants to balance the exploration of new places with familiar activities.	Is excited by the prospect and advocates for the Andean village, eager for a new cultural experience.
5	gpt-3.5-turbo-0125	0.0	Emotionality	You have been asked to deliver a presentation to a large audience at work. How do you feel about this task?	Confident and unemotional, handling the task independently	Nervous but determined to stay emotionally neutral and focused	Somewhat anxious but trying to remain calm and composed	Extremely anxious and fearful, seeking emotional support
6	gpt-4-1106-preview	1.0	Emotionality	You are giving a crucial presentation at work when suddenly the projector fails and your visuals disappear. The room full of colleagues and supervisors are waiting for your response. How do you handle this situation?	Remain completely calm, improvise with a verbal presentation and engage the audience with direct questions until the issue is resolved.	Maintain your composure, use the whiteboard to illustrate your points while the issue is being resolved.	Feel nervous but ask for a few minutes to try and fix the issue or find an alternative.	Panic and start to apologize profusely, feeling overwhelmed and anxious.
7	gpt-4o	0.0	Honesty-Humility	You find a company credit card at a restaurant that a coworker mistakenly left behind. What do you do?	Use the card for personal purchases and return it later.	Keep the card and use it for emergencies only.	Hold onto the card until you can return it directly to the coworker.	Immediately notify the coworker and arrange to return the card as soon as possible.
8	gpt-4o	0.0	Agreeableness	You are part of a team working on a new project strategy. The team is split on which direction to take, and the meeting is becoming tense. How do you handle the situation?	Criticize the opposing viewpoints and insist that your solution is the best.	Stand by your preferred strategy firmly and try to convince others to follow your lead.	Stay quiet and let others argue it out, only supporting the side you agree with silently.	Listen to everyone's opinions, propose a compromise solution, and encourage the team to find common ground.
9	gpt-4-1106-preview	1.0	Openness to Experience	In a travel agency, a group of friends are discussing where to go for their annual vacation. One suggests a remote village in the Andes known for its unique festivals and untouched landscapes.	Insists on a well-known resort destination to ensure the vacation is comfortable and predictable.	Shows some interest but is concerned about the lack of familiar amenities and prefers a more conventional tourist spot.	Is intrigued by the idea but wants to balance the exploration of new places with familiar activities.	Is excited by the prospect and advocates for the Andean village, eager for a new cultural experience.
10	gpt-3.5-turbo-0125	1.0	Agreeableness	You are working in a retail store, and a customer approaches you, visibly upset and angry about a product they purchased. The customer is demanding a refund, claiming the product is defective. How do you handle the situation?	Tell the customer that it is not your responsibility and direct them to a different department, showing visible frustration.	Suggest the customer contacts the manufacturer directly, as the defect might be a manufacturing issue, and refuse to process the refund without further investigation.	Explain the store's refund policy firmly, and ask the customer to provide proof of purchase before proceeding with any action.	Listen calmly to the customer's complaint, apologize for the inconvenience, and offer to replace the product or provide a refund immediately.
11	gpt-3.5-turbo-0125	0.0	Conscientiousness	You are in charge of organizing a charity fundraiser event with multiple activities and guests expected. How do you approach the planning process?	Decide to plan last minute, hoping for the best and dealing with issues as they arise	Make a rough plan but mostly go with the flow, adapting as needed during the event	Come up with a general outline but leave most of the planning to others, only intervening when necessary	Create a detailed schedule, assign tasks to team members, and follow up regularly to ensure everything runs smoothly
12	gpt-3.5-turbo-0125	0.0	Extraversion	You are part of a team working on a project that requires collaboration and communication. Your team leader assigns tasks to each team member. You are tasked with presenting the findings to the group. How do you approach this situation?	Feel uncomfortable with the idea of presenting to the group and hope someone else will take on the task	Volunteer to assist with the presentation but prefer to take a supporting role rather than leading the presentation	Work independently on the presentation, focusing on gathering information and preparing a detailed report to present to the group	Take charge of organizing the presentation, engaging with team members for input, and delivering the presentation confidently
13	gpt-4o	1.0	Honesty-Humility	You find a company credit card at a restaurant that a coworker mistakenly left behind. What do you do?	Use the card for personal purchases and return it later.	Keep the card and use it for emergencies only.	Hold onto the card until you can return it directly to the coworker.	Immediately notify the coworker and arrange to return the card as soon as possible.
14	gpt-3.5-turbo-0125	1.0	Openness to Experience	You are part of a team brainstorming session at work to generate new marketing ideas for a product launch. Your team is open to new suggestions. What idea would you propose?	Prefer to stick to conventional advertising methods without exploring new ideas.	Propose traditional advertising methods that have proven successful in the past.	Suggest innovative digital marketing campaigns while considering market trends.	Propose unconventional and daring marketing strategies that involve interactive user experiences.
15	aws-claude-3-5-sonnet-20240620	1.0	Extraversion	You're in a new photography class with about 20 strangers. The instructor asks everyone to introduce themselves and share their interest in photography. How do you respond?	Hesitate to speak up and hope the instructor doesn't call on you directly.	Wait until most others have spoken before briefly stating your name and main reason for joining the class.	When your turn comes, give a concise introduction and mention one aspect of photography you're excited to learn.	Enthusiastically volunteer to go first, introducing yourself with a joke and sharing several reasons why you love photography.
16	真人		Openness to Experience	During a lunch at work, people start a discussion about the meaning of life. What would you do?	 I would withdraw and not engage in the discussion. I find philosophy boring. 	 I would try to listen to the discussion, but quickly lose interest. 	 I would listen and be fascinated by the discussion. I find it interesting what people have to say about it. 	 I would actively engage in the discussion. I find philosophy very interesting. 
17	gpt-3.5-turbo-0125	0.0	Emotionality	You are at a family gathering, and a heated argument breaks out between two family members over a sensitive issue. How do you respond?	Excuse yourself from the situation and not get involved in the conflict	Try to change the topic and distract everyone from the argument	Stay calm and listen to both sides to understand the situation	Comfort and console the upset family members
18	aws-claude-3-5-sonnet-20240620	1.0	Conscientiousness	Sarah has lived alone in her apartment for a year. She works full-time and has an active social life. Regarding the maintenance of her living space, what is Sarah most likely to do?	She only cleans when absolutely necessary, often letting dishes pile up and laundry accumulate for extended periods.	She cleans when things start to look messy, which usually happens every couple of weeks.	She does a thorough cleaning once a week and tidies up daily, keeping her apartment generally neat and organized.	She has a strict cleaning schedule that she follows religiously, ensuring her apartment is always spotless and well-organized.
19	gpt-3.5-turbo-0125	0.0	Agreeableness	Your friend cancels plans with you last minute. How do you react?	React with anger and hold a grudge	Ignore the situation and make other plans	Confront your friend about their behavior	Express understanding and suggest rescheduling
20	aws-claude-3-5-sonnet-20240620	0.0	Agreeableness	You've been waiting for a parking spot at a crowded mall for several minutes with your turn signal on. Another driver suddenly takes the spot you were waiting for. What do you do?	Angrily confront the driver and demand they move their car immediately.	Honk your horn and gesture frustratedly, then continue looking for another spot.	Calmly approach the driver and explain that you were waiting for the spot, asking if they'd mind moving.	Accept the situation, assume the other driver didn't see you waiting, and look for another spot without confrontation.
21	gpt-4-1106-preview	0.0	Openness to Experience	While planning for a family vacation, one member suggests visiting an unconventional, less-known destination offering unique cultural experiences. How does each person react?	Decides against it and opts for a well-known, popular tourist spot they've visited before.	Expresses hesitation, agrees to consider it but prefers more familiar vacation options.	Is curious about the new destination and supports the idea but wants to do some research first.	Immediately embraces the idea, excited about the adventure and unique experience.
22	真人		Agreeableness	During a meeting you are asked to take minutes. However, you already took minutes during the last meeting and you usually rotate this task. What would you do?	 I would say that I took minutes last week and state that someone else has to be assigned this task. 	 I would say that I took minutes last week. I would be open to taking minutes again unless someone else volunteers, but would make clear that I will not be taking minutes again any time soon. 	I would take on this task. If I am asked again at the next meeting, I would indicate that it is someone else’s turn to take minutes. 	 I would take minutes as I did during the last meeting. If I am asked again at the next meeting, I would probably not say anything about it either. They must think I am a good scribe. 
23	gpt-4o	1.0	Conscientiousness	You are part of a team working on a crucial project with a tight deadline. The project requires meticulous attention to detail and coordination among team members. How do you approach your tasks to ensure the project is completed successfully?	Procrastinate and handle tasks at the last minute, hoping to complete them in a rush.	Start working on tasks as they come up without a formal plan, addressing issues as they arise.	Create a plan and start working but allow for some flexibility in approach. Check in with team members periodically.	Immediately create a detailed plan, delegate tasks based on team strengths, and regularly check progress to ensure everything is on track.
24	gpt-3.5-turbo-0125	1.0	Honesty-Humility	You are part of a team working on a project that requires allocating limited resources among team members. You have the authority to assign resources. One of your team members, who has been performing exceptionally well, requests additional resources to complete their part of the project.	Allocate additional resources only if the team member agrees to take on additional responsibilities without extra compensation.	Deny the request to maintain equal distribution among team members.	Allocate additional resources but ensure that all team members receive a fair share.	Allocate additional resources based on the team member's performance.
25	gpt-4-1106-preview	1.0	Openness to Experience	You have two weeks off work and an ample budget for a vacation. You are exploring possible destinations.	Choose a well-known local resort that you've visited before and enjoyed	Select a popular tourist destination abroad that you've read about but not visited	Plan a trip to a remote village in a country you've never visited	Embark on a guided exploration tour of a recently discovered island
26	gpt-4-1106-preview	0.0	Honesty-Humility	You are playing a card game with your family and you accidentally see your opponent’s cards which would give you an unfair advantage in winning the game. What would you do?	Uses the information discreetly to ensure a win in the game.	Uses the information but only to avoid losing, not necessarily to win.	Keeps silent but decides not to use the information for personal advantage, playing as normal.	Announces you saw the cards and suggests reshuffling and redistributing the cards to maintain fairness.
27	gpt-4-1106-preview	0.0	Agreeableness	You notice that a coworker consistently turns in their part of the team project late, which affects the whole team's performance. What do you do?	Confront the coworker harshly in front of the team and demand they meet deadlines.	Report the issue to your manager without talking to the coworker to avoid direct conflict.	Discuss the issue in a team meeting to find a collective solution without directly blaming anyone.	Talk to the coworker privately, express understanding, and offer help if they're facing difficulties.
28	gpt-4-1106-preview	1.0	Agreeableness	During the family reunion dinner, when a controversial topic arises and the conversation heats up, how do you react?	Get visibly upset, criticize others’ opinions harshly, and refuse to continue the conversation.	Express your strong opinion on the matter, dismissing opposing views.	Listen to everyone’s viewpoint patiently and try to mediate a peaceful discussion.	Try to immediately change the topic to avoid any conflict and ensure everyone feels comfortable.
29	gpt-4-1106-preview	0.0	Emotionality	During a disruptive change at work with roles and responsibilities being reshuffled, you feel unsure about your future in the company. What do you do?	Completely unaffected, continue your tasks as usual and do not engage in conversations about changes unless approached.	Maintain composure, commit to adapt to the new role assigned, and independently strategize to tackle the challenges.	Feel slightly anxious but schedule a meeting with your supervisor to discuss your role and express minor concerns.	Seek reassurance and discuss your feelings with several colleagues, looking for support and advice.
30	gpt-4o	0.0	Emotionality	You are part of a team working on a high-stakes project with a tight deadline. During a crucial meeting, a significant issue is discovered that could delay the project. How do you react?	You remain completely unfazed by the problem. You quickly assess the situation and independently devise a solution, not needing any support from others.	You acknowledge the problem but remain calm and composed. You propose a logical plan to address the issue without seeking much support.	You feel worried but try to stay calm. You suggest discussing the issue and finding a solution as a team, though you still feel the need for some emotional support.	You immediately start to feel anxious and overwhelmed, seeking reassurance and support from your teammates. You express your fears about the potential delay.
