Dimension	SJT
Honesty-humility	You accidentally scratched the car that you borrowed from the company for one day. You are aware of the rule that the one responsible for the damage has to pay for the repair costs. What would you do?
Emotionality	Tomorrow you will have your performance review, and there is a lot at stake. It is late in the evening and you are feeling tired. What would you do?
Extraversion	During a meeting, the chair asks people to share some workplace experiences. What would you do?
Agreeableness	Last year one of your colleagues took credit for business you brought in. You are about to start a new collaborative project with this colleague. What would you do?
Conscientiousness	You have finished a proposal that has to be submitted by tomorrow. The secretary usually checks these proposals for errors. What would you do?
Openness to experience	During the annual outing you are—among other things—visiting an art gallery in the city. What would you do?
Honesty-humility	Last month’s salary got transferred to your bank account. When you look at your bank account you notice that you have received 500 euro too much. What would you do?
Emotionality	You have applied for a desirable job and you will hear soon whether they will make you an offer. What would you do?
Extraversion	You just had two weeks of holiday and it is time to get back to work. How would you feel?
Agreeableness	A coworker of the department that you are supervising made an important phone call with a client. You had told the coworker in advance that this was not his task and that you would make the phone call yourself. The phone call with the client was unsuccessful and now you have missed out on an important deal. What would you do?
Conscientiousness	You have to give a presentation to your team soon, for which you are making PowerPoint slides. What would you do?
Openness to experience	The company closed a deal with a client from Norway and asks who would like to be involved on the project. That person would have to learn some things about Norway. What would you do?
Honesty-humility	Your supervisor compliments you on a report that was actually written by one of your colleagues. What would you do?
Emotionality	Your job is at risk due to a reorganization of your company. You are very worried about what might happen. What would you do?
Extraversion	On your first workday at a new company, there are a lot of new colleagues with whom to get acquainted. What would you do?
Agreeableness	It appears that your colleague has requested holiday leave for the same week as you. According to your supervisor one of you has to take a different week because it would be too busy at work if both of you are absent. Your colleague is not willing to change his holiday plans. What would you do?
Conscientiousness	You are instructed to give a presentation to three board members. You have sufficient time to prepare the presentation. What would you do?
Openness to experience	During a team outing you can choose between different types of workshops, including “composing a song” and “making a painting”. What would you do?
Honesty-humility	Based on the year-end figures, you will be placed into one of the following categories depending on your performance: 1) you will receive a bonus, 2) nothing changes, or 3) your department will be curtailed. Based on the figures, it is likely that you will just fall into the 3rd category. You know that other departments usually change their figures so that they will fall into the 1st category. What would you do?
Emotionality	During a personal conversation, one of your team members tells you that she and her partner are having a divorce. She is very emotional. What would you do?
Extraversion	You are invited to a network meeting of one of your largest clients. You know in advance that you do not know anyone there. What would you do?
Agreeableness	During a meeting you are asked to take minutes. However, you already took minutes during the last meeting and you usually rotate this task. What would you do?
Conscientiousness	You arrive at the office in the morning and it turns out to be a big mess. What would you do?
Openness to experience	During a lunch at work, people start a discussion about the meaning of life. What would you do?
